Period,Accomodation type,Travel,Tourists
1/1/2012,Hotel,Domestic,735000
2/1/2012,Hotel,Domestic,749000
3/1/2012,Hotel,Domestic,889000
4/1/2012,Hotel,Domestic,969000
5/1/2012,Hotel,Domestic,1060000
6/1/2012,Hotel,Domestic,1032000
7/1/2012,Hotel,Domestic,1009000
8/1/2012,Hotel,Domestic,1106000
9/1/2012,Hotel,Domestic,1045000
10/1/2012,Hotel,Domestic,1025000
11/1/2012,Hotel,Domestic,859000
12/1/2012,Hotel,Domestic,810000
1/1/2013,Hotel,Domestic,698000
2/1/2013,Hotel,Domestic,744000
3/1/2013,Hotel,Domestic,881000
4/1/2013,Hotel,Domestic,958000
5/1/2013,Hotel,Domestic,1078000
6/1/2013,Hotel,Domestic,1088000
7/1/2013,Hotel,Domestic,1067000
8/1/2013,Hotel,Domestic,1139000
9/1/2013,Hotel,Domestic,1058000
10/1/2013,Hotel,Domestic,1044000
11/1/2013,Hotel,Domestic,897000
12/1/2013,Hotel,Domestic,852000
1/1/2014,Hotel,Domestic,745000
2/1/2014,Hotel,Domestic,763000
3/1/2014,Hotel,Domestic,971000
4/1/2014,Hotel,Domestic,977000
5/1/2014,Hotel,Domestic,1124000
6/1/2014,Hotel,Domestic,1116000
7/1/2014,Hotel,Domestic,1091000
8/1/2014,Hotel,Domestic,1192000
9/1/2014,Hotel,Domestic,1133000
10/1/2014,Hotel,Domestic,1140000
11/1/2014,Hotel,Domestic,967000
12/1/2014,Hotel,Domestic,925000
1/1/2015,Hotel,Domestic,775000
2/1/2015,Hotel,Domestic,827000
3/1/2015,Hotel,Domestic,916000
4/1/2015,Hotel,Domestic,1025000
5/1/2015,Hotel,Domestic,1169000
6/1/2015,Hotel,Domestic,1121000
7/1/2015,Hotel,Domestic,1119000
8/1/2015,Hotel,Domestic,1220000
9/1/2015,Hotel,Domestic,1111000
10/1/2015,Hotel,Domestic,1165000
11/1/2015,Hotel,Domestic,998000
12/1/2015,Hotel,Domestic,964000
1/1/2016,Hotel,Domestic,854000
2/1/2016,Hotel,Domestic,913000
3/1/2016,Hotel,Domestic,1030000
4/1/2016,Hotel,Domestic,1103000
5/1/2016,Hotel,Domestic,1228000
6/1/2016,Hotel,Domestic,1191000
7/1/2016,Hotel,Domestic,1205000
8/1/2016,Hotel,Domestic,1274000
9/1/2016,Hotel,Domestic,1212000
10/1/2016,Hotel,Domestic,1252000
11/1/2016,Hotel,Domestic,1067000
12/1/2016,Hotel,Domestic,1020000
1/1/2017,Hotel,Domestic,964000
2/1/2017,Hotel,Domestic,936000
3/1/2017,Hotel,Domestic,1100000
4/1/2017,Hotel,Domestic,1229000
5/1/2017,Hotel,Domestic,1295000
6/1/2017,Hotel,Domestic,1316000
7/1/2017,Hotel,Domestic,1324000
8/1/2017,Hotel,Domestic,1382000
9/1/2017,Hotel,Domestic,1288000
10/1/2017,Hotel,Domestic,1316000
11/1/2017,Hotel,Domestic,1106000
12/1/2017,Hotel,Domestic,1162000
1/1/2018,Hotel,Domestic,1028000
2/1/2018,Hotel,Domestic,997000
3/1/2018,Hotel,Domestic,1169000
4/1/2018,Hotel,Domestic,1225000
5/1/2018,Hotel,Domestic,1355000
6/1/2018,Hotel,Domestic,1379000
7/1/2018,Hotel,Domestic,1323000
8/1/2018,Hotel,Domestic,1443000
9/1/2018,Hotel,Domestic,1368000
10/1/2018,Hotel,Domestic,1386000
11/1/2018,Hotel,Domestic,1178000
12/1/2018,Hotel,Domestic,1125000
1/1/2019,Hotel,Domestic,966000
2/1/2019,Hotel,Domestic,983000
3/1/2019,Hotel,Domestic,1227000
4/1/2019,Hotel,Domestic,1227000
5/1/2019,Hotel,Domestic,1335000
6/1/2019,Hotel,Domestic,1410000
7/1/2019,Hotel,Domestic,1323000
8/1/2019,Hotel,Domestic,1415000
9/1/2019,Hotel,Domestic,1355000
10/1/2019,Hotel,Domestic,1385000
11/1/2019,Hotel,Domestic,1244000
12/1/2019,Hotel,Domestic,1189000
1/1/2020,Hotel,Domestic,1055000
2/1/2020,Hotel,Domestic,1131000
3/1/2020,Hotel,Domestic,571000
4/1/2020,Hotel,Domestic,192000
5/1/2020,Hotel,Domestic,401000
6/1/2020,Hotel,Domestic,908000
7/1/2020,Hotel,Domestic,1420000
8/1/2020,Hotel,Domestic,1620000
9/1/2020,Hotel,Domestic,1355000
10/1/2020,Hotel,Domestic,985000
11/1/2020,Hotel,Domestic,773000
12/1/2020,Hotel,Domestic,649000
1/1/2021,Hotel,Domestic,366000
2/1/2021,Hotel,Domestic,549000
3/1/2021,Hotel,Domestic,593000
4/1/2021,Hotel,Domestic,791000
5/1/2021,Hotel,Domestic,1258000
6/1/2021,Hotel,Domestic,1346000
7/1/2021,Hotel,Domestic,1633000
1/1/2012,Hotel,International,563000
2/1/2012,Hotel,International,583000
3/1/2012,Hotel,International,735000
4/1/2012,Hotel,International,974000
5/1/2012,Hotel,International,953000
6/1/2012,Hotel,International,902000
7/1/2012,Hotel,International,949000
8/1/2012,Hotel,International,983000
9/1/2012,Hotel,International,910000
10/1/2012,Hotel,International,842000
11/1/2012,Hotel,International,743000
12/1/2012,Hotel,International,587000
1/1/2013,Hotel,International,576000
2/1/2013,Hotel,International,567000
3/1/2013,Hotel,International,784000
4/1/2013,Hotel,International,920000
5/1/2013,Hotel,International,1014000
6/1/2013,Hotel,International,922000
7/1/2013,Hotel,International,988000
8/1/2013,Hotel,International,1040000
9/1/2013,Hotel,International,912000
10/1/2013,Hotel,International,892000
11/1/2013,Hotel,International,775000
12/1/2013,Hotel,International,627000
1/1/2014,Hotel,International,631000
